,trials,presented_point,time_between_samples_mean,time_between_samples_std,sampling_rate_mean,sampling_rate_std,last_time_sample,horizontal_errors_pxs_mean,horizontal_errors_pxs_std,vertical_errors_pxs_mean,vertical_errors_pxs_std,total_errors_pxs_mean,total_errors_pxs_std
375,42.0,"(541.0, 131.0)",40.17391304347826,11.980608150031971,26.753321646902158,6.4425782021254,924,133.1875,139.2494249314876,122.25,66.63004202309946,189.04404112880195,144.13982105473784
376,42.0,"(960.0, 131.0)",42.523809523809526,12.350512029559352,25.383358175893022,6.664312945719368,893,54.07692307692308,49.90061127799097,172.30769230769232,53.79646058615412,192.28067029796577,32.03948259803221
377,42.0,"(960.0, 941.0)",48.73684210526316,13.045838639856562,22.102047620819167,6.141662956342009,926,32.857142857142854,33.94082485498451,457.92857142857144,176.1393378167711,459.8206342117228,177.53928759247424
378,43.0,"(541.0, 536.0)",50.388888888888886,14.937420902213224,21.790372833442742,6.762457852467309,907,147.78571428571428,134.96358163351672,196.71428571428572,62.62522149539224,259.9437700714783,122.89609711760879
379,43.0,"(960.0, 941.0)",43.42857142857143,9.529760045804524,24.160455451020454,5.21836464279881,912,43.0,34.13096946942874,321.7692307692308,153.39699818853836,327.6492656456572,150.75131416296708
380,43.0,"(541.0, 941.0)",50.388888888888886,9.031665829420449,20.61126095284276,4.481436619413059,907,123.46153846153847,99.91736230476077,243.0,171.66783669006304,281.4136191838692,185.88020836257195
381,43.0,"(960.0, 536.0)",44.095238095238095,12.85043916946314,24.467187072455545,6.367148614704057,926,71.07692307692308,52.507086025033196,275.9230769230769,86.97697444059685,287.8426421732137,93.02728032789517
382,43.0,"(960.0, 131.0)",47.68421052631579,13.890749029021352,23.02594898274515,7.423807068967978,906,49.07692307692308,33.44676950816841,79.0,52.703816822809976,101.2695649127255,47.858105889288524
383,43.0,"(1379.0, 131.0)",45.55,13.29840215965813,23.85165329529064,6.775110727776561,911,212.35714285714286,258.64553989218996,42.92857142857143,23.947753505479042,222.44156945169274,254.81204200605654
384,43.0,"(1379.0, 941.0)",43.19047619047619,10.214923944984323,24.537794706879748,5.953748846491634,907,90.125,44.26182751536588,450.375,149.687539144045,460.21091186721515,153.39994002067385
385,43.0,"(541.0, 131.0)",47.78947368421053,17.367783082382044,31.455785830361464,40.4480943084016,908,164.3846153846154,215.17239544912266,152.07692307692307,194.3369245323348,242.19182247332176,274.87963444886805
386,43.0,"(1379.0, 536.0)",46.8421052631579,8.8808674178924,22.339936069761755,5.377342006574013,890,70.58333333333333,120.37404089845211,189.83333333333334,45.379572007187946,217.8368178582831,100.57354250519305
387,44.0,"(960.0, 131.0)",44.55,17.10694303492006,31.022446283168655,32.03242999199666,891,31.142857142857142,23.424215622962073,130.64285714285714,41.070683223050516,136.01944226374926,42.09085289807223
388,44.0,"(541.0, 536.0)",46.89473684210526,14.624761759074753,23.289478799668846,6.725160340747388,891,242.06666666666666,269.1917449617569,150.2,27.876393836601846,313.4010233894717,237.01771777323276
389,44.0,"(960.0, 941.0)",48.78947368421053,11.265125258576257,21.712110252806518,5.508021286423925,927,89.0,53.678939738304926,459.0,116.44127888584627,471.6936751770125,112.01373486319928
