onset	duration	trial_index	trial-tag	center_x	center_y	start-x	start-y
746.3		504	validation-stimulus	960.0	536.0	-418.0	0.0
749.06	2.733	505					
750.497	0.813	506		960.0	536.0		
751.778	0.693	507		960.0	536.0		
753.052	0.699	508		960.0	536.0		
754.351	0.697	509		960.0	536.0		
755.588	0.653	510		960.0	536.0		
756.83	0.661	511		960.0	536.0		
758.134	0.727	512		960.0	536.0		
759.299	0.579	513		960.0	536.0		
760.566	0.677	514		960.0	536.0		
761.799	0.659	515		960.0	536.0		
763.147	0.772	516		960.0	536.0		
764.4	0.663	517		960.0	536.0		
765.681	0.693	518		960.0	536.0		
766.875	0.619	519		960.0	536.0		
768.168	0.711	520		960.0	536.0		
769.384	0.64	521		960.0	536.0		
770.691	0.717	522		960.0	536.0		
772.086	0.796	523		960.0	536.0		
775.825	3.669	524					
777.878		525	fixation-stimulus	960.0	536.0	0.0	0.0
778.814		526	validation-stimulus	960.0	536.0	418.0	-405.0
779.755		527	validation-stimulus	960.0	536.0	418.0	405.0
780.713		528	validation-stimulus	960.0	536.0	0.0	-405.0
781.651		529	validation-stimulus	960.0	536.0	-418.0	405.0
782.608		530	validation-stimulus	960.0	536.0	-418.0	0.0
783.553		531	validation-stimulus	960.0	536.0	0.0	0.0
784.518		532	validation-stimulus	960.0	536.0	0.0	405.0
785.467		533	validation-stimulus	960.0	536.0	418.0	0.0
786.402		534	validation-stimulus	960.0	536.0	-418.0	-405.0
788.453		535	fixation-stimulus	960.0	536.0	0.0	0.0
789.393		536	validation-stimulus	960.0	536.0	418.0	405.0
790.357		537	validation-stimulus	960.0	536.0	0.0	-405.0
791.311		538	validation-stimulus	960.0	536.0	0.0	0.0
792.237		539	validation-stimulus	960.0	536.0	-418.0	405.0
793.193		540	validation-stimulus	960.0	536.0	0.0	405.0
794.147		541	validation-stimulus	960.0	536.0	418.0	0.0
795.116		542	validation-stimulus	960.0	536.0	418.0	-405.0
796.055		543	validation-stimulus	960.0	536.0	-418.0	-405.0
797.024		544	validation-stimulus	960.0	536.0	-418.0	0.0
799.081		545	fixation-stimulus	960.0	536.0	0.0	0.0
800.046		546	validation-stimulus	960.0	536.0	418.0	-405.0
800.991		547	validation-stimulus	960.0	536.0	0.0	-405.0
801.948		548	validation-stimulus	960.0	536.0	0.0	0.0
802.908		549	validation-stimulus	960.0	536.0	-418.0	405.0
803.856		550	validation-stimulus	960.0	536.0	-418.0	0.0
804.815		551	validation-stimulus	960.0	536.0	418.0	405.0
805.765		552	validation-stimulus	960.0	536.0	-418.0	-405.0
806.737		553	validation-stimulus	960.0	536.0	418.0	0.0
807.693		554	validation-stimulus	960.0	536.0	0.0	405.0
809.758		555	fixation-stimulus	960.0	536.0	0.0	0.0
810.694		556	validation-stimulus	960.0	536.0	418.0	405.0
811.654		557	validation-stimulus	960.0	536.0	0.0	405.0
812.593		558	validation-stimulus	960.0	536.0	-418.0	405.0
813.555		559	validation-stimulus	960.0	536.0	0.0	0.0
